,gene1,gene2,cost,psi
301,G2SO26,G2WO39,1.0,1.0
300,G2SO26,G2WO38,1.0,1.0
299,G2SO26,G2WO37,1.0,1.0
298,G2SO26,G2WO36,1.0,1.0
307,G2SO27,G2WO33,1.0,1.0
297,G2SO26,G2WO35,1.0,1.0
295,G2SO26,G2WO33,1.0,1.0
294,G2SO26,G2WO32,1.0,1.0
293,G2SO26,G2WO31,1.0,1.0
292,G2SO26,G2WO30,1.0,1.0
291,G2SO26,G2SO29,1.0,1.0
290,G2SO26,G2SO28,1.0,1.0
289,G2SO26,G2SO27,1.0,1.0
288,G2SO25,G2WO39,1.0,1.0
287,G2SO25,G2WO38,1.0,1.0
296,G2SO26,G2WO34,1.0,1.0
285,G2SO25,G2WO36,1.0,1.0
308,G2SO27,G2WO34,1.0,1.0
310,G2SO27,G2WO36,1.0,1.0
330,G2SO29,G2WO35,1.0,1.0
329,G2SO29,G2WO34,1.0,1.0
328,G2SO29,G2WO33,1.0,1.0
327,G2SO29,G2WO32,1.0,1.0
326,G2SO29,G2WO31,1.0,1.0
325,G2SO29,G2WO30,1.0,1.0
324,G2SO28,G2WO39,1.0,1.0
323,G2SO28,G2WO38,1.0,1.0
322,G2SO28,G2WO37,1.0,1.0
309,G2SO27,G2WO35,1.0,1.0
321,G2SO28,G2WO36,1.0,1.0
319,G2SO28,G2WO34,1.0,1.0
318,G2SO28,G2WO33,1.0,1.0
317,G2SO28,G2WO32,1.0,1.0
316,G2SO28,G2WO31,1.0,1.0
315,G2SO28,G2WO30,1.0,1.0
314,G2SO28,G2SO29,1.0,1.0
313,G2SO27,G2WO39,1.0,1.0
312,G2SO27,G2WO38,1.0,1.0
311,G2SO27,G2WO37,1.0,1.0
320,G2SO28,G2WO35,1.0,1.0
190,G2SO20,G2SO21,1.0,1.0
189,G1WO18,G1WO19,1.0,1.0
188,G1WO17,G1WO19,1.0,1.0
67,G1SO3,G1WO17,1.0,1.0
66,G1SO3,G1WO16,1.0,1.0
65,G1SO3,G1WO15,1.0,1.0
64,G1SO3,G1WO14,1.0,1.0
63,G1SO3,G1WO13,1.0,1.0
62,G1SO3,G1WO12,1.0,1.0
61,G1SO3,G1WO11,1.0,1.0
60,G1SO3,G1WO10,1.0,1.0
59,G1SO3,G1SO9,1.0,1.0
58,G1SO3,G1SO8,1.0,1.0
57,G1SO3,G1SO7,1.0,1.0
56,G1SO3,G1SO6,1.0,1.0
55,G1SO3,G1SO5,1.0,1.0
54,G1SO3,G1SO4,1.0,1.0
53,G1SO2,G1WO19,1.0,1.0
52,G1SO2,G1WO18,1.0,1.0
51,G1SO2,G1WO17,1.0,1.0
50,G1SO2,G1WO16,1.0,1.0
49,G1SO2,G1WO15,1.0,1.0
68,G1SO3,G1WO18,1.0,1.0
69,G1SO3,G1WO19,1.0,1.0
70,G1SO4,G1SO5,1.0,1.0
71,G1SO4,G1SO6,1.0,1.0
91,G1SO5,G1WO12,1.0,1.0
90,G1SO5,G1WO11,1.0,1.0
89,G1SO5,G1WO10,1.0,1.0
88,G1SO5,G1SO9,1.0,1.0
87,G1SO5,G1SO8,1.0,1.0
86,G1SO5,G1SO7,1.0,1.0
85,G1SO5,G1SO6,1.0,1.0
84,G1SO4,G1WO19,1.0,1.0
83,G1SO4,G1WO18,1.0,1.0
48,G1SO2,G1WO14,1.0,1.0
82,G1SO4,G1WO17,1.0,1.0
80,G1SO4,G1WO15,1.0,1.0
79,G1SO4,G1WO14,1.0,1.0
78,G1SO4,G1WO13,1.0,1.0
77,G1SO4,G1WO12,1.0,1.0
76,G1SO4,G1WO11,1.0,1.0
75,G1SO4,G1WO10,1.0,1.0
74,G1SO4,G1SO9,1.0,1.0
73,G1SO4,G1SO8,1.0,1.0
72,G1SO4,G1SO7,1.0,1.0
81,G1SO4,G1WO16,1.0,1.0
47,G1SO2,G1WO13,1.0,1.0
46,G1SO2,G1WO12,1.0,1.0
45,G1SO2,G1WO11,1.0,1.0
20,G1SO1,G1SO3,1.0,1.0
19,G1SO1,G1SO2,1.0,1.0
18,G1SO0,G1WO19,1.0,1.0
17,G1SO0,G1WO18,1.0,1.0
16,G1SO0,G1WO17,1.0,1.0
15,G1SO0,G1WO16,1.0,1.0
14,G1SO0,G1WO15,1.0,1.0
13,G1SO0,G1WO14,1.0,1.0
12,G1SO0,G1WO13,1.0,1.0
21,G1SO1,G1SO4,1.0,1.0
11,G1SO0,G1WO12,1.0,1.0
9,G1SO0,G1WO10,1.0,1.0
8,G1SO0,G1SO9,1.0,1.0
7,G1SO0,G1SO8,1.0,1.0
6,G1SO0,G1SO7,1.0,1.0
5,G1SO0,G1SO6,1.0,1.0
4,G1SO0,G1SO5,1.0,1.0
3,G1SO0,G1SO4,1.0,1.0
2,G1SO0,G1SO3,1.0,1.0
1,G1SO0,G1SO2,1.0,1.0
10,G1SO0,G1WO11,1.0,1.0
92,G1SO5,G1WO13,1.0,1.0
22,G1SO1,G1SO5,1.0,1.0
24,G1SO1,G1SO7,1.0,1.0
44,G1SO2,G1WO10,1.0,1.0
43,G1SO2,G1SO9,1.0,1.0
42,G1SO2,G1SO8,1.0,1.0
41,G1SO2,G1SO7,1.0,1.0
40,G1SO2,G1SO6,1.0,1.0
39,G1SO2,G1SO5,1.0,1.0
38,G1SO2,G1SO4,1.0,1.0
37,G1SO2,G1SO3,1.0,1.0
36,G1SO1,G1WO19,1.0,1.0
23,G1SO1,G1SO6,1.0,1.0
35,G1SO1,G1WO18,1.0,1.0
33,G1SO1,G1WO16,1.0,1.0
32,G1SO1,G1WO15,1.0,1.0
31,G1SO1,G1WO14,1.0,1.0
30,G1SO1,G1WO13,1.0,1.0
29,G1SO1,G1WO12,1.0,1.0
28,G1SO1,G1WO11,1.0,1.0
27,G1SO1,G1WO10,1.0,1.0
26,G1SO1,G1SO9,1.0,1.0
25,G1SO1,G1SO8,1.0,1.0
34,G1SO1,G1WO17,1.0,1.0
93,G1SO5,G1WO14,1.0,1.0
94,G1SO5,G1WO15,1.0,1.0
95,G1SO5,G1WO16,1.0,1.0
163,G1WO12,G1WO14,1.0,1.0
162,G1WO12,G1WO13,1.0,1.0
161,G1WO11,G1WO19,1.0,1.0
160,G1WO11,G1WO18,1.0,1.0
159,G1WO11,G1WO17,1.0,1.0
158,G1WO11,G1WO16,1.0,1.0
157,G1WO11,G1WO15,1.0,1.0
156,G1WO11,G1WO14,1.0,1.0
155,G1WO11,G1WO13,1.0,1.0
164,G1WO12,G1WO15,1.0,1.0
154,G1WO11,G1WO12,1.0,1.0
152,G1WO10,G1WO18,1.0,1.0
151,G1WO10,G1WO17,1.0,1.0
150,G1WO10,G1WO16,1.0,1.0
149,G1WO10,G1WO15,1.0,1.0
148,G1WO10,G1WO14,1.0,1.0
147,G1WO10,G1WO13,1.0,1.0
146,G1WO10,G1WO12,1.0,1.0
145,G1WO10,G1WO11,1.0,1.0
144,G1SO9,G1WO19,1.0,1.0
153,G1WO10,G1WO19,1.0,1.0
143,G1SO9,G1WO18,1.0,1.0
165,G1WO12,G1WO16,1.0,1.0
167,G1WO12,G1WO18,1.0,1.0
187,G1WO17,G1WO18,1.0,1.0
186,G1WO16,G1WO19,1.0,1.0
185,G1WO16,G1WO18,1.0,1.0
184,G1WO16,G1WO17,1.0,1.0
183,G1WO15,G1WO19,1.0,1.0
182,G1WO15,G1WO18,1.0,1.0
181,G1WO15,G1WO17,1.0,1.0
180,G1WO15,G1WO16,1.0,1.0
179,G1WO14,G1WO19,1.0,1.0
166,G1WO12,G1WO17,1.0,1.0
178,G1WO14,G1WO18,1.0,1.0
176,G1WO14,G1WO16,1.0,1.0
175,G1WO14,G1WO15,1.0,1.0
174,G1WO13,G1WO19,1.0,1.0
173,G1WO13,G1WO18,1.0,1.0
172,G1WO13,G1WO17,1.0,1.0
171,G1WO13,G1WO16,1.0,1.0
170,G1WO13,G1WO15,1.0,1.0
169,G1WO13,G1WO14,1.0,1.0
168,G1WO12,G1WO19,1.0,1.0
177,G1WO14,G1WO17,1.0,1.0
378,G2WO37,G2WO39,1.0,1.0
142,G1SO9,G1WO17,1.0,1.0
140,G1SO9,G1WO15,1.0,1.0
115,G1SO7,G1WO11,1.0,1.0
114,G1SO7,G1WO10,1.0,1.0
113,G1SO7,G1SO9,1.0,1.0
112,G1SO7,G1SO8,1.0,1.0
111,G1SO6,G1WO19,1.0,1.0
110,G1SO6,G1WO18,1.0,1.0
109,G1SO6,G1WO17,1.0,1.0
108,G1SO6,G1WO16,1.0,1.0
107,G1SO6,G1WO15,1.0,1.0
116,G1SO7,G1WO12,1.0,1.0
106,G1SO6,G1WO14,1.0,1.0
104,G1SO6,G1WO12,1.0,1.0
103,G1SO6,G1WO11,1.0,1.0
102,G1SO6,G1WO10,1.0,1.0
101,G1SO6,G1SO9,1.0,1.0
100,G1SO6,G1SO8,1.0,1.0
99,G1SO6,G1SO7,1.0,1.0
98,G1SO5,G1WO19,1.0,1.0
97,G1SO5,G1WO18,1.0,1.0
96,G1SO5,G1WO17,1.0,1.0
105,G1SO6,G1WO13,1.0,1.0
141,G1SO9,G1WO16,1.0,1.0
117,G1SO7,G1WO13,1.0,1.0
119,G1SO7,G1WO15,1.0,1.0
139,G1SO9,G1WO14,1.0,1.0
138,G1SO9,G1WO13,1.0,1.0
137,G1SO9,G1WO12,1.0,1.0
136,G1SO9,G1WO11,1.0,1.0
135,G1SO9,G1WO10,1.0,1.0
134,G1SO8,G1WO19,1.0,1.0
133,G1SO8,G1WO18,1.0,1.0
132,G1SO8,G1WO17,1.0,1.0
131,G1SO8,G1WO16,1.0,1.0
118,G1SO7,G1WO14,1.0,1.0
130,G1SO8,G1WO15,1.0,1.0
128,G1SO8,G1WO13,1.0,1.0
127,G1SO8,G1WO12,1.0,1.0
126,G1SO8,G1WO11,1.0,1.0
125,G1SO8,G1WO10,1.0,1.0
124,G1SO8,G1SO9,1.0,1.0
123,G1SO7,G1WO19,1.0,1.0
122,G1SO7,G1WO18,1.0,1.0
121,G1SO7,G1WO17,1.0,1.0
120,G1SO7,G1WO16,1.0,1.0
129,G1SO8,G1WO14,1.0,1.0
379,G2WO38,G2WO39,1.0,1.0
