CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot	CommunityID
IMAGE:121857	T97349	10615	G2/M	DEEPEST mitotic spindle coiled-coil related protein Hs.16244		G2/M DEEPEST mitotic spindle coiled-coil related protein Hs.16244 T97349 	124
IMAGE:124138	R01238	NA	M/G1	NXF1 **nuclear RNA export factor 1 Hs.323502		M/G1 NXF1 **nuclear RNA export factor 1 Hs.323502 R01238 	124
IMAGE:126650	R06944	51514	G1/S	RAMP RA-regulated nuclear matrix-associated protein Hs.126774		G1/S RAMP RA-regulated nuclear matrix-associated protein Hs.126774 R06944 	124
IMAGE:127860	R08897	30000	G2	TRN2 karyopherin beta 2b, transportin Hs.278378	transport| | | | | | | | | | | | | 	G2 TRN2 karyopherin beta 2b, transportin Hs.278378 R08897 transport| | | | | | | | | | | | | 	38
IMAGE:128711	R12261	54443	G2/M	ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180	control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | 	G2/M ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180 R12261 control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | 	124
IMAGE:128947	R10284	3161	G2/M	HMMR hyaluronan-mediated motility receptor (RHAMM) Hs.72550	obsolete| cell motility| | | | | | | | | | | | 	G2/M HMMR hyaluronan-mediated motility receptor (RHAMM) Hs.72550 R10284 obsolete| cell motility| | | | | | | | | | | | 	124
IMAGE:129858	R17092	54443	G2	ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180	control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | 	G2 ANLN anillin (Drosophila Scraps homolog), actin binding protein Hs.62180 R17092 control of mitosis| nuclear division| cell cycle control| cell cycle| cytokinesis| | | | | | | | | 	70
IMAGE:129865	R19158	NA	G2/M	STK15 **serine/threonine kinase 15 Hs.250822		G2/M STK15 **serine/threonine kinase 15 Hs.250822 R19158 	124
IMAGE:129961	R19267	3833	G2	KNSL2 kinesin-like 2 Hs.20830		G2 KNSL2 kinesin-like 2 Hs.20830 R19267 	124
IMAGE:130204	R21530	4173	G1/S	ESTs 	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	G1/S ESTs  R21530 DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	124
IMAGE:130824	R22239	4162	G1/S	MCAM melanoma cell adhesion molecule Hs.211579	cell adhesion| developmental processes| | | | | | | | | | | | 	G1/S MCAM melanoma cell adhesion molecule Hs.211579 R22239 cell adhesion| developmental processes| | | | | | | | | | | | 	124
IMAGE:131316	R22949	NA	G2	 ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665		G2  ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665 R22949 	124
IMAGE:133454	R27457	54407	S phase	KIAA1382 amino acid transporter 2 Hs.298275		S phase KIAA1382 amino acid transporter 2 Hs.298275 R27457 	38
IMAGE:133456	R27345	26118	G2/M	DKFZP564A122 DKFZP564A122 protein Hs.187991		G2/M DKFZP564A122 DKFZP564A122 protein Hs.187991 R27345 	124
IMAGE:134482	R27647	55632	G2/M	FLJ20333 hypothetical protein FLJ20333 Hs.79828		G2/M FLJ20333 hypothetical protein FLJ20333 Hs.79828 R27647 	124
IMAGE:134495	R27712	6446	M/G1	SGK serum/glucocorticoid regulated kinase Hs.296323	stress response| transport| protein modification| metabolism| | | | | | | | | | 	M/G1 SGK serum/glucocorticoid regulated kinase Hs.296323 R27712 stress response| transport| protein modification| metabolism| | | | | | | | | | 	70
IMAGE:136814	R36085	6446	M/G1	SGK serum/glucocorticoid regulated kinase Hs.296323	stress response| transport| protein modification| metabolism| | | | | | | | | | 	M/G1 SGK serum/glucocorticoid regulated kinase Hs.296323 R36085 stress response| transport| protein modification| metabolism| | | | | | | | | | 	70
IMAGE:137242	R36152	54972	G2	FLJ20539 hypothetical protein FLJ20539 Hs.118552		G2 FLJ20539 hypothetical protein FLJ20539 Hs.118552 R36152 	70
IMAGE:137387	R38044	7020	G2	TFAP2A transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha) Hs.334334	obsolete| developmental processes| signal transduction| developmental processes| transcription| | | | | | | | | 	G2 TFAP2A transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha) Hs.334334 R38044 obsolete| developmental processes| signal transduction| developmental processes| transcription| | | | | | | | | 	70
IMAGE:1374830	AA947258	NA	S phase	 ESTs Hs.127703		S phase  ESTs Hs.127703 AA947258 	61
IMAGE:139635	R64228	55599	G1/S	FLJ20008 hypothetical protein FLJ20008 Hs.14235		G1/S FLJ20008 hypothetical protein FLJ20008 Hs.14235 R64228 	124
IMAGE:142122	R69355	60312	M/G1	AFAP actin filament associated protein Hs.80306		M/G1 AFAP actin filament associated protein Hs.80306 R69355 	70
IMAGE:1422338	AA826373	6241	S phase	RRM2 ribonucleotide reductase M2 polypeptide Hs.75319		S phase RRM2 ribonucleotide reductase M2 polypeptide Hs.75319 AA826373 	70
IMAGE:143169	R73759	NA	G2/M	 Homo sapiens, clone IMAGE:3881549, mRNA Hs.346735		G2/M  Homo sapiens, clone IMAGE:3881549, mRNA Hs.346735 R73759 	70
IMAGE:1455600	AA863115	22894	G1/S	KIAA1008 KIAA1008 protein Hs.323346		G1/S KIAA1008 KIAA1008 protein Hs.323346 AA863115 	1
IMAGE:1456207	AI791356	51343	G2	FZR1 Fzr1 protein Hs.268384	cell cycle control| protein degradation| metabolism| | | | | | | | | | | 	G2 FZR1 Fzr1 protein Hs.268384 AI791356 cell cycle control| protein degradation| metabolism| | | | | | | | | | | 	124
IMAGE:1468466	AA885096	NA	G1/S	 Homo sapiens cDNA FLJ11381 fis, clone HEMBA1000501 Hs.127797		G1/S  Homo sapiens cDNA FLJ11381 fis, clone HEMBA1000501 Hs.127797 AA885096 	124
IMAGE:146882	R80990	11065	G2	UBE2C ubiquitin-conjugating enzyme E2C Hs.93002	protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 	G2 UBE2C ubiquitin-conjugating enzyme E2C Hs.93002 R80990 protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 	124
IMAGE:1470060	AA865469	7846	G2	TUBA3 Tubulin, alpha, brain-specific Hs.272897	developmental processes| developmental processes| cell shape and cell size control| | | | | | | | | | | 	G2 TUBA3 Tubulin, alpha, brain-specific Hs.272897 AA865469 developmental processes| developmental processes| cell shape and cell size control| | | | | | | | | | | 	124
IMAGE:1473682	AA916726	84330	G1/S	MGC15716 hypothetical protein MGC15716 Hs.332563		G1/S MGC15716 hypothetical protein MGC15716 Hs.332563 AA916726 	124
IMAGE:1475463	AA857804	63967	G1/S	CLASPIN homolog of Xenopus Claspin Hs.175613		G1/S CLASPIN homolog of Xenopus Claspin Hs.175613 AA857804 	124
IMAGE:1475842	AA872143	6093	G2	ROCK1 Rho-associated, coiled-coil containing protein kinase 1 Hs.17820	signal transduction| protein modification| metabolism| signal transduction| cell shape and cell size control| obsolete| | | | | | | | 	G2 ROCK1 Rho-associated, coiled-coil containing protein kinase 1 Hs.17820 AA872143 signal transduction| protein modification| metabolism| signal transduction| cell shape and cell size control| obsolete| | | | | | | | 	70
IMAGE:1486028	AA912032	NA	G2	 ESTs, Weakly similar to 2108276A ssDNA-binding protein [R.norvegicus] Hs.181059		G2  ESTs, Weakly similar to 2108276A ssDNA-binding protein [R.norvegicus] Hs.181059 AA912032 	70
IMAGE:152617	R49810	80855	S phase	KIAA1716 KIAA1716 protein Hs.21446		S phase KIAA1716 KIAA1716 protein Hs.21446 R49810 	38
IMAGE:153411	R48091	3122	G2	HLA-DRA major histocompatibility complex, class II, DR alpha Hs.76807		G2 HLA-DRA major histocompatibility complex, class II, DR alpha Hs.76807 R48091 	124
IMAGE:1536451	AA919126	NA	G2	 ESTs Hs.126714		G2  ESTs Hs.126714 AA919126 	124
IMAGE:1540227	AA936183	22974	G2/M	C20orf1 chromosome 20 open reading frame 1 Hs.9329	mitosis| nuclear division| cell cycle| cell proliferation| | | | | | | | | | 	G2/M C20orf1 chromosome 20 open reading frame 1 Hs.9329 AA936183 mitosis| nuclear division| cell cycle| cell proliferation| | | | | | | | | | 	124
IMAGE:1540236	AA936181	55355	G2	DKFZp762E1312 hypothetical protein DKFZp762E1312 Hs.104859		G2 DKFZp762E1312 hypothetical protein DKFZp762E1312 Hs.104859 AA936181 	124
IMAGE:1540418	AA927182	64710	G2	NUCKS similar to rat nuclear ubiquitous casein kinase 2 Hs.118064		G2 NUCKS similar to rat nuclear ubiquitous casein kinase 2 Hs.118064 AA927182 	70
IMAGE:1541659	AA913262	993	G1/S	CDC25A cell division cycle 25A Hs.1634	cell cycle control| cell cycle control| cell cycle| | | | | | | | | | | 	G1/S CDC25A cell division cycle 25A Hs.1634 AA913262 cell cycle control| cell cycle control| cell cycle| | | | | | | | | | | 	124
IMAGE:1550739	AA908902	29128	G1/S	ICBP90 transcription factor Hs.108106	cell proliferation| transcription| | | | | | | | | | | | 	G1/S ICBP90 transcription factor Hs.108106 AA908902 cell proliferation| transcription| | | | | | | | | | | | 	124
IMAGE:1554469	AA931528	NA	G2	 EST, Weakly similar to dJ45P21.2 [H.sapiens] Hs.326451		G2  EST, Weakly similar to dJ45P21.2 [H.sapiens] Hs.326451 AA931528 	124
IMAGE:1564300	AA973283	8841	G2	HDAC3 histone deacetylase 3 Hs.279789	cell cycle control| | | | | | | | | | | | | 	G2 HDAC3 histone deacetylase 3 Hs.279789 AA973283 cell cycle control| | | | | | | | | | | | | 	70
IMAGE:1564601	AA960844	NA	G1/S	 Homo sapiens, clone IMAGE:4081483, mRNA Hs.186579		G1/S  Homo sapiens, clone IMAGE:4081483, mRNA Hs.186579 AA960844 	124
IMAGE:1568205	AI733267	23118	G2/M	TAB2 TAK1-binding protein 2 Hs.109727		G2/M TAB2 TAK1-binding protein 2 Hs.109727 AI733267 	38
IMAGE:1575311	AB067516	NA	S phase	ESTs Hs.128081 AA971042  		S phase ESTs Hs.128081 AA971042   AB067516 	124
IMAGE:1584883	AA939019	NA	G2	 ESTs Hs.122444		G2  ESTs Hs.122444 AA939019 	434
IMAGE:1587847	AA976533	4175	G1/S	MCM6 minichromosome maintenance deficient (mis5, S. pombe) 6 Hs.155462		G1/S MCM6 minichromosome maintenance deficient (mis5, S. pombe) 6 Hs.155462 AA976533 	70
IMAGE:1591599	AA983462	4001	G2	LMNB1 lamin B1 Hs.89497		G2 LMNB1 lamin B1 Hs.89497 AA983462 	70
IMAGE:1600239	AA961752	51659	G1/S	LOC51659 HSPC037 protein Hs.108196		G1/S LOC51659 HSPC037 protein Hs.108196 AA961752 	70
IMAGE:1605155	AA988037	51240	G1/S	LOC51240 hypothetical protein Hs.7870		G1/S LOC51240 hypothetical protein Hs.7870 AA988037 	124
IMAGE:1618978	AA992090	NA	S phase	 ESTs Hs.165607		S phase  ESTs Hs.165607 AA992090 	124
IMAGE:1623191	AA992658	NA	S phase	 ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592		S phase  ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592 AA992658 	124
IMAGE:1635178	AI005038	NA	S phase	 Homo sapiens cDNA: FLJ23285 fis, clone HEP09071 Hs.90424		S phase  Homo sapiens cDNA: FLJ23285 fis, clone HEP09071 Hs.90424 AI005038 	124
IMAGE:1636288	AI017254	10714	G1/S	POLD3 polymerase (DNA directed), delta 3 Hs.82502	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	G1/S POLD3 polymerase (DNA directed), delta 3 Hs.82502 AI017254 DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	124
IMAGE:1636876	AI000256	10383	G2	TUBB2 tubulin, beta, 2 Hs.251653		G2 TUBB2 tubulin, beta, 2 Hs.251653 AI000256 	124
IMAGE:1637791	AI002036	81611	M/G1	MGC5350 hypothetical protein MGC5350 Hs.71331		M/G1 MGC5350 hypothetical protein MGC5350 Hs.71331 AI002036 	124
IMAGE:1639260	AI014667	NA	S phase	 ESTs Hs.112570		S phase  ESTs Hs.112570 AI014667 	38
IMAGE:1646048	AI031571	55710	G2/M	FLJ10461 hypothetical protein FLJ10461 Hs.122579		G2/M FLJ10461 hypothetical protein FLJ10461 Hs.122579 AI031571 	124
IMAGE:1652927	AI080987	NA	G1/S	 ESTs Hs.166539		G1/S  ESTs Hs.166539 AI080987 	124
IMAGE:1673052	AI057325	10721	G2	POLQ polymerase (DNA directed), theta Hs.241517	DNA repair| | | | | | | | | | | | | 	G2 POLQ polymerase (DNA directed), theta Hs.241517 AI057325 DNA repair| | | | | | | | | | | | | 	124
IMAGE:1687138	AI095013	8336	*S phase	H2AFN H2A histone family, member N Hs.134999		*S phase H2AFN H2A histone family, member N Hs.134999 AI095013 	70
IMAGE:1694526	AI124082	55771	G2	FLJ11029 hypothetical protein FLJ11029 Hs.274448		G2 FLJ11029 hypothetical protein FLJ11029 Hs.274448 AI124082 	124
IMAGE:1699682	AI061169	NA	M/G1	 **EST Hs.133431		M/G1  **EST Hs.133431 AI061169 	124
IMAGE:170	AI793029	NA	G2	PRO1073 **PRO1073 protein Hs.6975		G2 PRO1073 **PRO1073 protein Hs.6975 AI793029 	70
IMAGE:1735742	AI139629	84325	S phase	MGC5254 hypothetical protein MGC5254 Hs.222088		S phase MGC5254 hypothetical protein MGC5254 Hs.222088 AI139629 	124
IMAGE:181831	H39962	NA	G2/M	 **Homo sapiens SNC73 protein (SNC73) mRNA, complete cds Hs.293441		G2/M  **Homo sapiens SNC73 protein (SNC73) mRNA, complete cds Hs.293441 H39962 	124
IMAGE:182933	H45443	10347	G1/S	ABCA7 ATP-binding cassette, sub-family A (ABC1), member 7 Hs.134514		G1/S ABCA7 ATP-binding cassette, sub-family A (ABC1), member 7 Hs.134514 H45443 	124
IMAGE:1837950	AI220472	NA	G1/S	 ESTs Hs.120605		G1/S  ESTs Hs.120605 AI220472 	124
IMAGE:1842170	AI218900	8366	S phase	H4FI H4 histone family, member I Hs.143080		S phase H4FI H4 histone family, member I Hs.143080 AI218900 	70
IMAGE:1849013	AI247680	NA	S phase	 EST Hs.149260		S phase  EST Hs.149260 AI247680 	38
IMAGE:1851004	AI248987	57650	G2	KIAA1524 KIAA1524 protein Hs.151343		G2 KIAA1524 KIAA1524 protein Hs.151343 AI248987 	70
IMAGE:1853497	AI243595	64770	S phase	FLJ12892 hypothetical protein FLJ12892 Hs.17731		S phase FLJ12892 hypothetical protein FLJ12892 Hs.17731 AI243595 	70
IMAGE:1856923	AI271431	NA	G2	 ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665		G2  ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665 AI271431 	124
IMAGE:1858169	AI225067	60492	G2/M	MDS025 hypothetical protein MDS025 Hs.154938		G2/M MDS025 hypothetical protein MDS025 Hs.154938 AI225067 	124
IMAGE:1862607	AI053436	64710	M/G1	NUCKS similar to rat nuclear ubiquitous casein kinase 2 Hs.118064		M/G1 NUCKS similar to rat nuclear ubiquitous casein kinase 2 Hs.118064 AI053436 	70
IMAGE:1862628	AI053446	NA	G2	 ESTs Hs.133294		G2  ESTs Hs.133294 AI053446 	124
IMAGE:1881517	AI291262	NA	G2/M	 ESTs, Weakly similar to T19201 hypothetical protein C11G6.3 - Caenorhabditis elegans [C.elegans] Hs.283127		G2/M  ESTs, Weakly similar to T19201 hypothetical protein C11G6.3 - Caenorhabditis elegans [C.elegans] Hs.283127 AI291262 	70
IMAGE:1894782	AI292036	NA	G2	 ESTs Hs.345019		G2  ESTs Hs.345019 AI292036 	124
IMAGE:1911334	NM_033445	92815	G2	H2AFL H2A histone family, member L Hs.28777 AI268551  		G2 H2AFL H2A histone family, member L Hs.28777 AI268551   NM_033445 	70
IMAGE:194061	H50582	9994	G1/S	CASP8AP2 CASP8 associated protein 2 Hs.122843	signal transduction| cell death| | | | | | | | | | | | 	G1/S CASP8AP2 CASP8 associated protein 2 Hs.122843 H50582 signal transduction| cell death| | | | | | | | | | | | 	124
IMAGE:194656	R84407	NA	G2/M	 ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens] Hs.221754		G2/M  ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens] Hs.221754 R84407 	124
IMAGE:1962510	AI254200	23521	M/G1	RPL13A ribosomal protein L13a Hs.119122		M/G1 RPL13A ribosomal protein L13a Hs.119122 AI254200 	70
IMAGE:196303	R92435	83540	G2/M	NUF2R hypothetical protein NUF2R Hs.234545		G2/M NUF2R hypothetical protein NUF2R Hs.234545 R92435 	124
IMAGE:196387	R91502	1244	S phase	ABCC2 ATP-binding cassette, sub-family C (CFTR/MRP), member 2 Hs.193852	obsolete| | | | | | | | | | | | | 	S phase ABCC2 ATP-binding cassette, sub-family C (CFTR/MRP), member 2 Hs.193852 R91502 obsolete| | | | | | | | | | | | | 	70
IMAGE:196475	R92512	NA	G2	ESTs Hs.302878 R92512  		G2 ESTs Hs.302878 R92512   R92512 	70
IMAGE:196522	R91604	NA	S phase	 ESTs Hs.221847		S phase  ESTs Hs.221847 R91604 	38
IMAGE:197520	H51992	8202	M/G1	NCOA3 nuclear receptor coactivator 3 Hs.225977	obsolete| signal transduction| transcription| | | | | | | | | | | 	M/G1 NCOA3 nuclear receptor coactivator 3 Hs.225977 H51992 obsolete| signal transduction| transcription| | | | | | | | | | | 	124
IMAGE:197775	R93772	NA	M/G1	 ESTs Hs.32204		M/G1  ESTs Hs.32204 R93772 	70
IMAGE:197868	R96212	NA	S phase	 **ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.318894		S phase  **ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.318894 R96212 	70
IMAGE:198104	R94633	NA	G2	 ESTs Hs.102004		G2  ESTs Hs.102004 R94633 	124
IMAGE:200402	R96998	81610	G2	DJ616B8.3 hypothetical protein dJ616B8.3 Hs.70704		G2 DJ616B8.3 hypothetical protein dJ616B8.3 Hs.70704 R96998 	124
IMAGE:2017403	AI369623	5998	G2	RGS3 regulator of G-protein signalling 3 Hs.82294	signal transduction| signal transduction| | | | | | | | | | | | 	G2 RGS3 regulator of G-protein signalling 3 Hs.82294 AI369623 signal transduction| signal transduction| | | | | | | | | | | | 	124
IMAGE:2017415	AI369629	1058	G2/M	CENPA centromere protein A (17kD) Hs.1594	cell growth and/or maintenance| | | | | | | | | | | | | 	G2/M CENPA centromere protein A (17kD) Hs.1594 AI369629 cell growth and/or maintenance| | | | | | | | | | | | | 	124
IMAGE:2018941	AI362799	8568	G2/M	D21S2056E DNA segment on chromosome 21 (unique) 2056 expressed sequence Hs.110757		G2/M D21S2056E DNA segment on chromosome 21 (unique) 2056 expressed sequence Hs.110757 AI362799 	124
IMAGE:2018976	AI362866	9232	M/G1	PTTG1 pituitary tumor-transforming 1 Hs.252587	obsolete| developmental processes| transcription| | | | | | | | | | | 	M/G1 PTTG1 pituitary tumor-transforming 1 Hs.252587 AI362866 obsolete| developmental processes| transcription| | | | | | | | | | | 	124
IMAGE:2019372	AI369284	51512	G2/M	GTSE1 G-2 and S-phase expressed 1 Hs.122552		G2/M GTSE1 G-2 and S-phase expressed 1 Hs.122552 AI369284 	124
IMAGE:2029071	AI253072	NA	G1/S	 ESTs Hs.145383		G1/S  ESTs Hs.145383 AI253072 	70
IMAGE:204214	H59203	990	G1/S	CDC6 CDC6 (cell division cycle 6, S. cerevisiae) homolog Hs.69563	DNA replication checkpoint| DNA replication| cell cycle| DNA replication| cell cycle control| cell cycle| cell cycle| cell proliferation| | | | | | 	G1/S CDC6 CDC6 (cell division cycle 6, S. cerevisiae) homolog Hs.69563 H59203 DNA replication checkpoint| DNA replication| cell cycle| DNA replication| cell cycle control| cell cycle| cell cycle| cell proliferation| | | | | | 	124
IMAGE:204483	H58234	29028	S phase	PRO2000 PRO2000 protein Hs.46677		S phase PRO2000 PRO2000 protein Hs.46677 H58234 	124
IMAGE:204545	H58644	84168	M/G1	TEM8 tumor endothelial marker 8 Hs.8966		M/G1 TEM8 tumor endothelial marker 8 Hs.8966 H58644 	70
IMAGE:205049	H57494	26353	G1/S	H11 protein kinase H11; small stress protein-like protein HSP22 Hs.111676		G1/S H11 protein kinase H11; small stress protein-like protein HSP22 Hs.111676 H57494 	70
IMAGE:205445	H59954	3005	S phase	H1F0 H1 histone family, member 0 Hs.226117		S phase H1F0 H1 histone family, member 0 Hs.226117 H59954 	70
IMAGE:2062329	AI337292	7272	G2/M	TTK TTK protein kinase Hs.169840	obsolete| spindle assembly| cell growth and/or maintenance| cell cycle control| mitotic spindle assembly| nuclear division| cell cycle| cell growth and/or maintenance| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| cell cycle| cell proliferation	G2/M TTK TTK protein kinase Hs.169840 AI337292 obsolete| spindle assembly| cell growth and/or maintenance| cell cycle control| mitotic spindle assembly| nuclear division| cell cycle| cell growth and/or maintenance| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| cell cycle| cell proliferation	124
IMAGE:207920	H60423	10246	G2/M	SLC17A2 solute carrier family 17 (sodium phosphate), member 2 Hs.19710	transport| metabolism| | | | | | | | | | | | 	G2/M SLC17A2 solute carrier family 17 (sodium phosphate), member 2 Hs.19710 H60423 transport| metabolism| | | | | | | | | | | | 	124
IMAGE:209066	H63492	8465	G2/M	STK15 serine/threonine kinase 15 Hs.250822	mitosis| nuclear division| cell cycle| obsolete| protein modification| metabolism| | | | | | | | 	G2/M STK15 serine/threonine kinase 15 Hs.250822 H63492 mitosis| nuclear division| cell cycle| obsolete| protein modification| metabolism| | | | | | | | 	124
IMAGE:209383	H64096	3312	M/G1	HSPA8 heat shock 70kD protein 8 Hs.180414		M/G1 HSPA8 heat shock 70kD protein 8 Hs.180414 H64096 	124
IMAGE:220376	H86877	7150	S phase	TOP1 topoisomerase (DNA) I Hs.317		S phase TOP1 topoisomerase (DNA) I Hs.317 H86877 	125
IMAGE:229560	H67282	NA	S phase	 ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592		S phase  ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592 H67282 	70
IMAGE:2307015	AI652290	10615	G2/M	DEEPEST mitotic spindle coiled-coil related protein Hs.16244		G2/M DEEPEST mitotic spindle coiled-coil related protein Hs.16244 AI652290 	124
IMAGE:2307420	AI672565	7280	G2	TUBB tubulin, beta polypeptide Hs.336780		G2 TUBB tubulin, beta polypeptide Hs.336780 AI672565 	124
IMAGE:2308994	AI654707	22974	G2/M	C20orf1 chromosome 20 open reading frame 1 Hs.9329	mitosis| nuclear division| cell cycle| cell proliferation| | | | | | | | | | 	G2/M C20orf1 chromosome 20 open reading frame 1 Hs.9329 AI654707 mitosis| nuclear division| cell cycle| cell proliferation| | | | | | | | | | 	124
IMAGE:2327739	AI693023	51203	G2/M	ANKT nucleolar protein ANKT Hs.279905		G2/M ANKT nucleolar protein ANKT Hs.279905 AI693023 	124
IMAGE:232837	H73968	22974	G2/M	C20orf1 chromosome 20 open reading frame 1 Hs.9329	mitosis| nuclear division| cell cycle| cell proliferation| | | | | | | | | | 	G2/M C20orf1 chromosome 20 open reading frame 1 Hs.9329 H73968 mitosis| nuclear division| cell cycle| cell proliferation| | | | | | | | | | 	124
IMAGE:234004	H66150	26118	G2	DKFZP564A122 DKFZP564A122 protein Hs.187991		G2 DKFZP564A122 DKFZP564A122 protein Hs.187991 H66150 	38
IMAGE:234045	H66982	55632	G2/M	FLJ20333 hypothetical protein FLJ20333 Hs.79828		G2/M FLJ20333 hypothetical protein FLJ20333 Hs.79828 H66982 	124
IMAGE:235179	H78675	56257	G2	FLJ20257 hypothetical protein FLJ20257 Hs.178011		G2 FLJ20257 hypothetical protein FLJ20257 Hs.178011 H78675 	70
IMAGE:236142	H61303	NA	G1/S	E2F1 E2F transcription factor 1 Hs.96055 H61303  		G1/S E2F1 E2F transcription factor 1 Hs.96055 H61303   H61303 	124
IMAGE:240766	NM_003254	7076	G2	TIMP1 tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor) Hs.5831 H80214  	developmental processes| cell proliferation| | | | | | | | | | | | 	G2 TIMP1 tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor) Hs.5831 H80214   NM_003254 developmental processes| cell proliferation| | | | | | | | | | | | 	124
IMAGE:241029	H81023	9212	G2	STK12 serine/threonine kinase 12 Hs.180655		G2 STK12 serine/threonine kinase 12 Hs.180655 H81023 	124
