CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot
IMAGE:795603	AA460012	6581	S phase	"SLC22A3 solute carrier family 22 (extraneuronal monoamine transporter), member 3 Hs.81086"	transport| | | | | | | | | | | | | 	"S phase SLC22A3 solute carrier family 22 (extraneuronal monoamine transporter), member 3 Hs.81086 AA460012 transport| | | | | | | | | | | | | "
IMAGE:731356	AA416787	10226	M/G1	TIP47 cargo selection protein (mannose 6 phosphate receptor binding protein) Hs.140452	transport| | | | | | | | | | | | | 	M/G1 TIP47 cargo selection protein (mannose 6 phosphate receptor binding protein) Hs.140452 AA416787 transport| | | | | | | | | | | | | 
IMAGE:127860	R08897	30000	G2	"TRN2 karyopherin beta 2b, transportin Hs.278378"	transport| | | | | | | | | | | | | 	"G2 TRN2 karyopherin beta 2b, transportin Hs.278378 R08897 transport| | | | | | | | | | | | | "
IMAGE:856427	NM_004237	9319	G2/M	TRIP13 thyroid hormone receptor interactor 13 Hs.6566 AA630784  	transcription| | | | | | | | | | | | | 	G2/M TRIP13 thyroid hormone receptor interactor 13 Hs.6566 AA630784   NM_004237 transcription| | | | | | | | | | | | | 
IMAGE:302549	W38326	687	G2/M	BTEB1 basic transcription element binding protein 1 Hs.150557	transcription| | | | | | | | | | | | | 	G2/M BTEB1 basic transcription element binding protein 1 Hs.150557 W38326 transcription| | | | | | | | | | | | | 
IMAGE:366067	AA074613	1039	G2	CDR2 cerebellar degeneration-related protein (62kD) Hs.75124	transcription| | | | | | | | | | | | | 	G2 CDR2 cerebellar degeneration-related protein (62kD) Hs.75124 AA074613 transcription| | | | | | | | | | | | | 
IMAGE:240367	H89996	10664	G2/M	CTCF CCCTC-binding factor (zinc finger protein) Hs.57419	transcription| | | | | | | | | | | | | 	G2/M CTCF CCCTC-binding factor (zinc finger protein) Hs.57419 H89996 transcription| | | | | | | | | | | | | 
IMAGE:487797	AA044623	1810	G2/M	"DR1 down-regulator of transcription 1, TBP-binding (negative cofactor 2) Hs.16697"	transcription| | | | | | | | | | | | | 	"G2/M DR1 down-regulator of transcription 1, TBP-binding (negative cofactor 2) Hs.16697 AA044623 transcription| | | | | | | | | | | | | "
IMAGE:566760	AA132007	1810	G2/M	"DR1 down-regulator of transcription 1, TBP-binding (negative cofactor 2) Hs.16697"	transcription| | | | | | | | | | | | | 	"G2/M DR1 down-regulator of transcription 1, TBP-binding (negative cofactor 2) Hs.16697 AA132007 transcription| | | | | | | | | | | | | "
IMAGE:471200	AA033532	51042	M/G1	LOC51042 zinc finger protein Hs.102419	transcription| | | | | | | | | | | | | 	M/G1 LOC51042 zinc finger protein Hs.102419 AA033532 transcription| | | | | | | | | | | | | 
IMAGE:884438	AA629687	4780	S phase	NFE2L2 nuclear factor (erythroid-derived 2)-like 2 Hs.155396	transcription| | | | | | | | | | | | | 	S phase NFE2L2 nuclear factor (erythroid-derived 2)-like 2 Hs.155396 AA629687 transcription| | | | | | | | | | | | | 
IMAGE:265874	N20996	4782	M/G1	NFIC nuclear factor I/C (CCAAT-binding transcription factor) Hs.184771	transcription| | | | | | | | | | | | | 	M/G1 NFIC nuclear factor I/C (CCAAT-binding transcription factor) Hs.184771 N20996 transcription| | | | | | | | | | | | | 
IMAGE:843069	AA488619	11137	G2/M	PWP1 nuclear phosphoprotein similar to S. cerevisiae PWP1 Hs.172589	transcription| | | | | | | | | | | | | 	G2/M PWP1 nuclear phosphoprotein similar to S. cerevisiae PWP1 Hs.172589 AA488619 transcription| | | | | | | | | | | | | 
IMAGE:757165	AA444129	6944	G1/S	TCFL1 transcription factor-like 1 Hs.2430	transcription| | | | | | | | | | | | | 	G1/S TCFL1 transcription factor-like 1 Hs.2430 AA444129 transcription| | | | | | | | | | | | | 
IMAGE:773208	AA425650	9323	M/G1	TRIP8 thyroid hormone receptor interactor 8 Hs.6685	transcription| | | | | | | | | | | | | 	M/G1 TRIP8 thyroid hormone receptor interactor 8 Hs.6685 AA425650 transcription| | | | | | | | | | | | | 
IMAGE:868630	AA664389	8848	M/G1	TSC22 transforming growth factor beta-stimulated protein TSC-22 Hs.114360	transcription| | | | | | | | | | | | | 	M/G1 TSC22 transforming growth factor beta-stimulated protein TSC-22 Hs.114360 AA664389 transcription| | | | | | | | | | | | | 
IMAGE:1643615	AI023603	8458	G2	"TTF2 transcription termination factor, RNA polymerase II Hs.142157"	transcription| | | | | | | | | | | | | 	"G2 TTF2 transcription termination factor, RNA polymerase II Hs.142157 AI023603 transcription| | | | | | | | | | | | | "
IMAGE:280750	N47469	23528	M/G1	ZNF281 zinc finger protein 281 Hs.59757	transcription| | | | | | | | | | | | | 	M/G1 ZNF281 zinc finger protein 281 Hs.59757 N47469 transcription| | | | | | | | | | | | | 
IMAGE:1570365	AA932642	7593	S phase	ZNF42 zinc finger protein 42 (myeloid-specific retinoic acid- responsive) Hs.169832	transcription| | | | | | | | | | | | | 	S phase ZNF42 zinc finger protein 42 (myeloid-specific retinoic acid- responsive) Hs.169832 AA932642 transcription| | | | | | | | | | | | | 
IMAGE:1605099	AA987906	7593	G1/S	ZNF42 zinc finger protein 42 (myeloid-specific retinoic acid- responsive) Hs.169832	transcription| | | | | | | | | | | | | 	G1/S ZNF42 zinc finger protein 42 (myeloid-specific retinoic acid- responsive) Hs.169832 AA987906 transcription| | | | | | | | | | | | | 
IMAGE:769003	AA424756	6446	M/G1	SGK serum/glucocorticoid regulated kinase Hs.296323	stress response| transport| protein modification| metabolism| | | | | | | | | | 	M/G1 SGK serum/glucocorticoid regulated kinase Hs.296323 AA424756 stress response| transport| protein modification| metabolism| | | | | | | | | | 
IMAGE:134495	R27712	6446	M/G1	SGK serum/glucocorticoid regulated kinase Hs.296323	stress response| transport| protein modification| metabolism| | | | | | | | | | 	M/G1 SGK serum/glucocorticoid regulated kinase Hs.296323 R27712 stress response| transport| protein modification| metabolism| | | | | | | | | | 
IMAGE:136814	R36085	6446	M/G1	SGK serum/glucocorticoid regulated kinase Hs.296323	stress response| transport| protein modification| metabolism| | | | | | | | | | 	M/G1 SGK serum/glucocorticoid regulated kinase Hs.296323 R36085 stress response| transport| protein modification| metabolism| | | | | | | | | | 
IMAGE:897806	AA598526	3091	M/G1	"HIF1A hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) Hs.197540"	stress response| transcription| | | | | | | | | | | | 	"M/G1 HIF1A hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) Hs.197540 AA598526 stress response| transcription| | | | | | | | | | | | "
IMAGE:590774	AA158169	5603	G2/M	MAPK13 mitogen-activated protein kinase 13 Hs.178695	stress response| signal transduction| cell communication| stress response| | | | | | | | | | 	G2/M MAPK13 mitogen-activated protein kinase 13 Hs.178695 AA158169 stress response| signal transduction| cell communication| stress response| | | | | | | | | | 
IMAGE:815287	AA481621	10902	G2	SMAP thyroid hormone receptor coactivating protein Hs.5464	signal transduction| transcription| signal transduction| | | | | | | | | | | 	G2 SMAP thyroid hormone receptor coactivating protein Hs.5464 AA481621 signal transduction| transcription| signal transduction| | | | | | | | | | | 
IMAGE:268778	N36599	5573	M/G1	"PRKAR1A protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1) Hs.183037"	signal transduction| transcription| | | | | | | | | | | | 	"M/G1 PRKAR1A protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1) Hs.183037 N36599 signal transduction| transcription| | | | | | | | | | | | "
IMAGE:840636	AA487823	6722	G2/M	SRF serum response factor (c-fos serum response element-binding transcription factor) Hs.155321	signal transduction| transcription| | | | | | | | | | | | 	G2/M SRF serum response factor (c-fos serum response element-binding transcription factor) Hs.155321 AA487823 signal transduction| transcription| | | | | | | | | | | | 
IMAGE:712840	AA282023	6777	G2	STAT5B signal transducer and activator of transcription 5B Hs.244613	signal transduction| transcription| | | | | | | | | | | | 	G2 STAT5B signal transducer and activator of transcription 5B Hs.244613 AA282023 signal transduction| transcription| | | | | | | | | | | | 
IMAGE:840600	AA488027	2782	M/G1	"GNB1 guanine nucleotide binding protein (G protein), beta polypeptide 1 Hs.215595"	signal transduction| signal transduction| signal transduction| | | | | | | | | | | 	"M/G1 GNB1 guanine nucleotide binding protein (G protein), beta polypeptide 1 Hs.215595 AA488027 signal transduction| signal transduction| signal transduction| | | | | | | | | | | "
IMAGE:2017403	AI369623	5998	G2	RGS3 regulator of G-protein signalling 3 Hs.82294	signal transduction| signal transduction| | | | | | | | | | | | 	G2 RGS3 regulator of G-protein signalling 3 Hs.82294 AI369623 signal transduction| signal transduction| | | | | | | | | | | | 
IMAGE:1475842	AA872143	6093	G2	"ROCK1 Rho-associated, coiled-coil containing protein kinase 1 Hs.17820"	signal transduction| protein modification| metabolism| signal transduction| cell shape and cell size control| obsolete| | | | | | | | 	"G2 ROCK1 Rho-associated, coiled-coil containing protein kinase 1 Hs.17820 AA872143 signal transduction| protein modification| metabolism| signal transduction| cell shape and cell size control| obsolete| | | | | | | | "
IMAGE:782712	AA447971	10746	S phase	MAP3K2 mitogen-activated protein kinase kinase kinase 2 Hs.28827	signal transduction| protein modification| metabolism| signal transduction| | | | | | | | | | 	S phase MAP3K2 mitogen-activated protein kinase kinase kinase 2 Hs.28827 AA447971 signal transduction| protein modification| metabolism| signal transduction| | | | | | | | | | 
IMAGE:773220	AA425229	8473	S phase	OGT O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) Hs.100293	signal transduction| protein metabolism and modification| protein modification| metabolism| physiological processes| | | | | | | | | 	S phase OGT O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) Hs.100293 AA425229 signal transduction| protein metabolism and modification| protein modification| metabolism| physiological processes| | | | | | | | | 
IMAGE:28012	R40794	8473	S phase	OGT O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) Hs.100293	signal transduction| protein metabolism and modification| protein modification| metabolism| physiological processes| | | | | | | | | 	S phase OGT O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) Hs.100293 R40794 signal transduction| protein metabolism and modification| protein modification| metabolism| physiological processes| | | | | | | | | 
IMAGE:471725	AA035450	3708	G2/M	"ITPR1 inositol 1,4,5-triphosphate receptor, type 1 Hs.198443"	signal transduction| obsolete| | | | | | | | | | | | 	"G2/M ITPR1 inositol 1,4,5-triphosphate receptor, type 1 Hs.198443 AA035450 signal transduction| obsolete| | | | | | | | | | | | "
IMAGE:1455463	AA865667	3710	G2	"ITPR3 inositol 1,4,5-triphosphate receptor, type 3 Hs.77515"	signal transduction| obsolete| | | | | | | | | | | | 	"G2 ITPR3 inositol 1,4,5-triphosphate receptor, type 3 Hs.77515 AA865667 signal transduction| obsolete| | | | | | | | | | | | "
IMAGE:45138	H07899	7424	M/G1	VEGFC vascular endothelial growth factor C Hs.79141	signal transduction| developmental processes| cell motility| cell proliferation| | | | | | | | | | 	M/G1 VEGFC vascular endothelial growth factor C Hs.79141 H07899 signal transduction| developmental processes| cell motility| cell proliferation| | | | | | | | | | 
IMAGE:26249	R20729	6456	S phase	SH3GL2 SH3-domain GRB2-like 2 Hs.75149	signal transduction| developmental processes| | | | | | | | | | | | 	S phase SH3GL2 SH3-domain GRB2-like 2 Hs.75149 R20729 signal transduction| developmental processes| | | | | | | | | | | | 
IMAGE:788832	AA450062	9518	M/G1	PLAB prostate differentiation factor Hs.296638	signal transduction| cell-cell signaling| cell communication| signal transduction| | | | | | | | | | 	M/G1 PLAB prostate differentiation factor Hs.296638 AA450062 signal transduction| cell-cell signaling| cell communication| signal transduction| | | | | | | | | | 
IMAGE:2306697	NM_021077	4828	G2	NMB neuromedin B Hs.83321 AI650675  	signal transduction| cell-cell signaling| | | | | | | | | | | | 	G2 NMB neuromedin B Hs.83321 AI650675   NM_021077 signal transduction| cell-cell signaling| | | | | | | | | | | | 
IMAGE:545503	AA079495	6772	G2	"STAT1 signal transducer and activator of transcription 1, 91kD Hs.21486"	signal transduction| cell death| cell cycle control| signal transduction| signal transduction| signal transduction| stress response| transcription| signal transduction| protein modification| metabolism| signal transduction| | 	"G2 STAT1 signal transducer and activator of transcription 1, 91kD Hs.21486 AA079495 signal transduction| cell death| cell cycle control| signal transduction| signal transduction| signal transduction| stress response| transcription| signal transduction| protein modification| metabolism| signal transduction| | "
IMAGE:194061	H50582	9994	G1/S	CASP8AP2 CASP8 associated protein 2 Hs.122843	signal transduction| cell death| | | | | | | | | | | | 	G1/S CASP8AP2 CASP8 associated protein 2 Hs.122843 H50582 signal transduction| cell death| | | | | | | | | | | | 
IMAGE:756596	NM_001394	1846	G2/M	DUSP4 dual specificity phosphatase 4 Hs.2359 AA444049  	signal transduction| cell cycle control| protein modification| metabolism| | | | | | | | | | 	G2/M DUSP4 dual specificity phosphatase 4 Hs.2359 AA444049   NM_001394 signal transduction| cell cycle control| protein modification| metabolism| | | | | | | | | | 
IMAGE:271198	N30428	2908	G2	"NR3C1 nuclear receptor subfamily 3, group C, member 1 Hs.75772"	signal transduction| cell communication| stress response| transcription| transcription| | | | | | | | | 	"G2 NR3C1 nuclear receptor subfamily 3, group C, member 1 Hs.75772 N30428 signal transduction| cell communication| stress response| transcription| transcription| | | | | | | | | "
IMAGE:448190	AA702174	329	G2/M	BIRC2 baculoviral IAP repeat-containing 2 Hs.289107	signal transduction| | | | | | | | | | | | | 	G2/M BIRC2 baculoviral IAP repeat-containing 2 Hs.289107 AA702174 signal transduction| | | | | | | | | | | | | 
IMAGE:1475200	AA858390	828	S phase	CAPS calcyphosine Hs.26685	signal transduction| | | | | | | | | | | | | 	S phase CAPS calcyphosine Hs.26685 AA858390 signal transduction| | | | | | | | | | | | | 
IMAGE:46862	H10809	11113	G2/M	"CIT citron (rho-interacting, serine/threonine kinase 21) Hs.15767"	signal transduction| | | | | | | | | | | | | 	"G2/M CIT citron (rho-interacting, serine/threonine kinase 21) Hs.15767 H10809 signal transduction| | | | | | | | | | | | | "
IMAGE:343562	W69425	11113	G2/M	"CIT citron (rho-interacting, serine/threonine kinase 21) Hs.15767"	signal transduction| | | | | | | | | | | | | 	"G2/M CIT citron (rho-interacting, serine/threonine kinase 21) Hs.15767 W69425 signal transduction| | | | | | | | | | | | | "
IMAGE:788645	AA449834	10146	M/G1	G3BP Ras-GTPase-activating protein SH3-domain-binding protein Hs.220689	signal transduction| | | | | | | | | | | | | 	M/G1 G3BP Ras-GTPase-activating protein SH3-domain-binding protein Hs.220689 AA449834 signal transduction| | | | | | | | | | | | | 
IMAGE:898235	AA598628	10146	M/G1	G3BP Ras-GTPase-activating protein SH3-domain-binding protein Hs.220689	signal transduction| | | | | | | | | | | | | 	M/G1 G3BP Ras-GTPase-activating protein SH3-domain-binding protein Hs.220689 AA598628 signal transduction| | | | | | | | | | | | | 
IMAGE:724932	AA291284	2870	G2/M	GPRK6 G protein-coupled receptor kinase 6 Hs.76297	signal transduction| | | | | | | | | | | | | 	G2/M GPRK6 G protein-coupled receptor kinase 6 Hs.76297 AA291284 signal transduction| | | | | | | | | | | | | 
1343768	AA725641	10238	G2	HAN11 WD-repeat protein Hs.176600	signal transduction| | | | | | | | | | | | | 	G2 HAN11 WD-repeat protein Hs.176600 AA725641 signal transduction| | | | | | | | | | | | | 
IMAGE:415264	W92011	29899	G2/M	HSU54999 LGN protein Hs.278338	signal transduction| | | | | | | | | | | | | 	G2/M HSU54999 LGN protein Hs.278338 W92011 signal transduction| | | | | | | | | | | | | 
IMAGE:1619759	AA991855	5905	G2/M	RANGAP1 Ran GTPase activating protein 1 Hs.183800	signal transduction| | | | | | | | | | | | | 	G2/M RANGAP1 Ran GTPase activating protein 1 Hs.183800 AA991855 signal transduction| | | | | | | | | | | | | 
IMAGE:811150	AA486455	5905	G2	RANGAP1 Ran GTPase activating protein 1 Hs.183800	signal transduction| | | | | | | | | | | | | 	G2 RANGAP1 Ran GTPase activating protein 1 Hs.183800 AA486455 signal transduction| | | | | | | | | | | | | 
IMAGE:260931	H98072	5905	G2	RANGAP1 Ran GTPase activating protein 1 Hs.183800	signal transduction| | | | | | | | | | | | | 	G2 RANGAP1 Ran GTPase activating protein 1 Hs.183800 H98072 signal transduction| | | | | | | | | | | | | 
IMAGE:756401	AA482117	6009	M/G1	RHEB2 Ras homolog enriched in brain 2 Hs.279903	signal transduction| | | | | | | | | | | | | 	M/G1 RHEB2 Ras homolog enriched in brain 2 Hs.279903 AA482117 signal transduction| | | | | | | | | | | | | 
IMAGE:789376	AA453335	7296	G2/M	TXNRD1 thioredoxin reductase 1 Hs.13046	signal transduction| | | | | | | | | | | | | 	G2/M TXNRD1 thioredoxin reductase 1 Hs.13046 AA453335 signal transduction| | | | | | | | | | | | | 
IMAGE:292996	N69107	7533	G2/M	"YWHAH tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide Hs.75544"	signal transduction| | | | | | | | | | | | | 	"G2/M YWHAH tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide Hs.75544 N69107 signal transduction| | | | | | | | | | | | | "
IMAGE:897594	AA496879	10921	G2/M	"RNPS1 RNA-binding protein S1, serine-rich domain Hs.75104"	RNA metabolism| transcription| | | | | | | | | | | | 	"G2/M RNPS1 RNA-binding protein S1, serine-rich domain Hs.75104 AA496879 RNA metabolism| transcription| | | | | | | | | | | | "
IMAGE:626531	AA186327	10492	M/G1	NSAP1 NS1-associated protein 1 Hs.155489	RNA metabolism| RNA metabolism| transport| | | | | | | | | | | 	M/G1 NSAP1 NS1-associated protein 1 Hs.155489 AA186327 RNA metabolism| RNA metabolism| transport| | | | | | | | | | | 
IMAGE:814119	AA465460	1659	G2	DDX8 DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 8 (RNA helicase) Hs.171872	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	G2 DDX8 DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 8 (RNA helicase) Hs.171872 AA465460 RNA metabolism| RNA metabolism| | | | | | | | | | | | 
IMAGE:773254	AA425853	6421	G2/M	SFPQ splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated) Hs.180610	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	G2/M SFPQ splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated) Hs.180610 AA425853 RNA metabolism| RNA metabolism| | | | | | | | | | | | 
IMAGE:768049	AA426575	6421	G2/M	SFPQ splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated) Hs.180610	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	G2/M SFPQ splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated) Hs.180610 AA426575 RNA metabolism| RNA metabolism| | | | | | | | | | | | 
IMAGE:898265	AA598965	6430	S phase	"SFRS5 splicing factor, arginine/serine-rich 5 Hs.166975"	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	"S phase SFRS5 splicing factor, arginine/serine-rich 5 Hs.166975 AA598965 RNA metabolism| RNA metabolism| | | | | | | | | | | | "
IMAGE:767976	AA418938	6432	G1/S	"SFRS7 splicing factor, arginine/serine-rich 7 (35kD) Hs.184167"	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	"G1/S SFRS7 splicing factor, arginine/serine-rich 7 (35kD) Hs.184167 AA418938 RNA metabolism| RNA metabolism| | | | | | | | | | | | "
IMAGE:884718	AA629558	7884	G1/S	SLBP stem-loop (histone) binding protein Hs.75257	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	G1/S SLBP stem-loop (histone) binding protein Hs.75257 AA629558 RNA metabolism| RNA metabolism| | | | | | | | | | | | 
IMAGE:509943	AA052960	1736	M/G1	"DKC1 dyskeratosis congenita 1, dyskerin Hs.4747"	RNA metabolism| cell growth and/or maintenance| RNA metabolism| transcription| cell cycle control| cell proliferation| cell communication| cell growth and/or maintenance| | | | | | 	"M/G1 DKC1 dyskeratosis congenita 1, dyskerin Hs.4747 AA052960 RNA metabolism| cell growth and/or maintenance| RNA metabolism| transcription| cell cycle control| cell proliferation| cell communication| cell growth and/or maintenance| | | | | | "
IMAGE:841226	AA487115	10625	G1/S	NS1-BP NS1-binding protein Hs.197298	RNA metabolism| cell communication| stress response| transcription| | | | | | | | | | 	G1/S NS1-BP NS1-binding protein Hs.197298 AA487115 RNA metabolism| cell communication| stress response| transcription| | | | | | | | | | 
IMAGE:786592	AA452256	9406	G1/S	ZNF265 zinc finger protein 265 Hs.194718	RNA metabolism| | | | | | | | | | | | | 	G1/S ZNF265 zinc finger protein 265 Hs.194718 AA452256 RNA metabolism| | | | | | | | | | | | | 
IMAGE:293884	N66014	9406	G1/S	ZNF265 zinc finger protein 265 Hs.194718	RNA metabolism| | | | | | | | | | | | | 	G1/S ZNF265 zinc finger protein 265 Hs.194718 N66014 RNA metabolism| | | | | | | | | | | | | 
IMAGE:815096	AA465196	7323	G2/M	UBE2D3 ubiquitin-conjugating enzyme E2D 3 (homologous to yeast UBC4/5) Hs.118797	protein modification| protein degradation| metabolism| | | | | | | | | | | 	G2/M UBE2D3 ubiquitin-conjugating enzyme E2D 3 (homologous to yeast UBC4/5) Hs.118797 AA465196 protein modification| protein degradation| metabolism| | | | | | | | | | | 
IMAGE:770901	AA434420	5780	G2/M	"PTPN9 protein tyrosine phosphatase, non-receptor type 9 Hs.147663"	protein modification| metabolism| | | | | | | | | | | | 	"G2/M PTPN9 protein tyrosine phosphatase, non-receptor type 9 Hs.147663 AA434420 protein modification| metabolism| | | | | | | | | | | | "
IMAGE:301018	W07775	6792	G2	STK9 serine/threonine kinase 9 Hs.50905	protein modification| metabolism| | | | | | | | | | | | 	G2 STK9 serine/threonine kinase 9 Hs.50905 W07775 protein modification| metabolism| | | | | | | | | | | | 
IMAGE:769921	AA430504	11065	G2	UBE2C ubiquitin-conjugating enzyme E2C Hs.93002	protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 	G2 UBE2C ubiquitin-conjugating enzyme E2C Hs.93002 AA430504 protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 
IMAGE:146882	R80990	11065	G2	UBE2C ubiquitin-conjugating enzyme E2C Hs.93002	protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 	G2 UBE2C ubiquitin-conjugating enzyme E2C Hs.93002 R80990 protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 
IMAGE:810600	AA464019	27338	M/G1	E2-EPF ubiquitin carrier protein Hs.174070	protein modification| | | | | | | | | | | | | 	M/G1 E2-EPF ubiquitin carrier protein Hs.174070 AA464019 protein modification| | | | | | | | | | | | | 
IMAGE:840702	AA488081	22929	G2/M	SPS SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein Hs.124027	protein modification| | | | | | | | | | | | | 	G2/M SPS SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein Hs.124027 AA488081 protein modification| | | | | | | | | | | | | 
IMAGE:840404	AA485653	4247	G2	"MGAT2 mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase Hs.172195"	protein metabolism and modification| protein modification| metabolism| metabolism| | | | | | | | | | 	"G2 MGAT2 mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase Hs.172195 AA485653 protein metabolism and modification| protein modification| metabolism| metabolism| | | | | | | | | | "
IMAGE:260741	H97940	10905	S phase	"MAN1A2 mannosidase, alpha, class 1A, member 2 Hs.239114"	protein metabolism and modification| protein modification| metabolism| | | | | | | | | | | 	"S phase MAN1A2 mannosidase, alpha, class 1A, member 2 Hs.239114 H97940 protein metabolism and modification| protein modification| metabolism| | | | | | | | | | | "
IMAGE:130931	R23007	10905	S phase	"MAN1A2 mannosidase, alpha, class 1A, member 2 Hs.239114"	protein metabolism and modification| protein modification| metabolism| | | | | | | | | | | 	"S phase MAN1A2 mannosidase, alpha, class 1A, member 2 Hs.239114 R23007 protein metabolism and modification| protein modification| metabolism| | | | | | | | | | | "
IMAGE:144893	R78550	10905	S phase	"MAN1A2 mannosidase, alpha, class 1A, member 2 Hs.239114"	protein metabolism and modification| protein modification| metabolism| | | | | | | | | | | 	"S phase MAN1A2 mannosidase, alpha, class 1A, member 2 Hs.239114 R78550 protein metabolism and modification| protein modification| metabolism| | | | | | | | | | | "
IMAGE:665774	AA193254	1977	M/G1	EIF4E eukaryotic translation initiation factor 4E Hs.79306	protein metabolism and modification| metabolism| | | | | | | | | | | | 	M/G1 EIF4E eukaryotic translation initiation factor 4E Hs.79306 AA193254 protein metabolism and modification| metabolism| | | | | | | | | | | | 
